,index,name,recipe,ingridients
0,0,Манхэттен,Налей в стакан для смешивания красный вермут 25 мл и бурбон 50 мл. Добавь ангостуру биттер 1 дэш. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась коктейльной вишней,"бурбон, красный вермут, ангостура биттер, коктейльная вишня красная, лед в кубиках"
1,1,Секс на пляже,"Наполни слинг кубиками льда доверху. Налей в шейкер клюквенный сок 40 мл, ананасовый сок 40 мл, персиковый ликер 25 мл и водку 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Укрась кусочком ананаса и ягодой малины на коктейльной шпажке","водка, персиковый ликер, клюквенный сок, ананасовый сок, ананас, малина, лед в кубиках"
2,2,Космополитен,"Налей в шейкер лаймовый сок 10 мл, клюквенный сок 50 мл, ликер трипл сек 20 мл и цитрусовую водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Зажги над коктейлем горелку и выжми на нее масло из апельсиновой цедры. Проведи цедрой по краям бокала и укрась ею коктейль","цитрусовая водка, трипл сек, клюквенный сок, лаймовый сок, апельсиновая цедра, лед в кубиках"
3,3,Б-52,"Налей в стопку кофейный ликер 15 мл. Используя коктейльную ложку, уложи слой айриш крим 15 мл и слой ликера трипл сек 15 мл. Поджигай, вооружайся трубочками и угощай!","кофейный ликер, айриш крим, трипл сек"
4,4,Голубая лагуна,Наполни харрикейн кубиками льда доверху. Налей ликер блю кюрасао 20 мл и водку 50 мл . Долей спрайт доверху и аккуратно размешай коктейльной ложкой. Укрась долькой ананаса,"водка, ликер блю кюрасао, спрайт, ананас, лед в кубиках"
5,5,Маргарита,"Сделай на бокале для маргариты соленую окаемку. Налей в шейкер лаймовый сок 30 мл, сахарный сироп 10 мл, ликер трипл сек 25 мл и серебряную текилу 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный бокал для маргариты. Укрась кружком лайма","серебряная текила, трипл сек, сахарный сироп, лаймовый сок, лайм, соль, лед в кубиках"
6,6,Апероль Шприц,Наполни бокал для вина льдом. Налей в бокал просекко 100 мл и апероль 100 мл . Добавь сплэш содовой и размешай коктейльной ложкой. Укрась долькой апельсина,"апероль, просекко, содовая, апельсин, лед в кубиках"
7,7,Лонг айленд айс ти,"Наполни френчпресс кубиками льда доверху. Налей лимонный сок 30 мл, сахарный сироп 30 мл и ликер трипл сек 30 мл. Добавь водку 30 мл, джин 30 мл, белый ром 30 мл и серебряную текилу 30 мл. Долей колу доверху и аккуратно размешай коктейльной ложкой","лондонский сухой джин, водка, белый ром, серебряная текила, трипл сек, сахарный сироп, лимонный сок, кола, лед в кубиках"
8,8,Роза Багси,"Наполни рокс кубиками льда доверху. Налей в шейкер лаймовый сок 15 мл, лаймовый кордиал 10 мл, сироп розы 15 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в бокал. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась лепестком розы","водка, сироп розы, лаймовый кордиал, лаймовый сок, содовая, лепестки роз, лед в кубиках"
9,9,Малевич шутер,Налей в стопку водку 50 мл. Налей в другую стопку мед 15 мл и окуни в него ломтик соленого огурца на шпажке. Выпей шот и заверши его огурцом в меде,"водка, соленый огурец, мед"
10,10,Палома,"Сделай на бокале соленую окаемку. Наполни хайбол кубиками льда доверху. Налей лаймовый сок 15 мл, грейпфрутовый сок 50 мл и домашнюю клубничную текилу 60 мл. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась нарезанной клубникой, кружочком лайма и веточкой мяты","домашняя клубничная текила, грейпфрутовый сок, лаймовый сок, содовая, лайм, клубника, мята, соль, лед в кубиках"
11,11,Лолита,"Положи в стакан для смешивания кружок перца чили и подави мадлером. Налей лаймовый сок 10 мл и персиковый ликер 25 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в стопку. Используя коктейльную ложку, уложи слой серебряной текилы 15 мл","серебряная текила, персиковый ликер, лаймовый сок, перец чили, лед в кубиках"
12,12,Таракан,"Налей в стопку кофейный ликер 20 мл. Используя коктейльную ложку, уложи слоями самбуку 15 мл и абсент 15 мл. Подожги и быстро выпей через трубочку","самбука классическая, абсент, кофейный ликер"
13,13,Джин тоник,Наполни хайбол кубиками льда доверху. Налей джин 50 мл. Долей тоник доверху и аккуратно размешай коктейльной ложкой. Укрась кружками лайма,"лондонский сухой джин, тоник, лайм, лед в кубиках"
14,14,Хиросима,"Налей в стопку самбуку 20 мл. Используя коктейльную ложку, уложи слоями айриш крим 10 мл и абсент 20 мл. Аккуратно налей через трубочку гренадин 5 капель","самбука классическая, абсент, айриш крим, гренадин"
15,15,"Сломан, но не сломлен",Налей в шейкер апельсиновый сироп с хреном 20 мл и лимонный сок 25 мл. Добавь херес педро хименес 30 мл и апероль 25 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный бокал. Укрась кусочком хрена на прищепке,"апероль, херес педро хименес, домашний апельсиновый сироп с хреном, лимонный сок, хрен, лед в кубиках"
16,16,Ром + Изюм,Налей в стакан для смешивания домашний ликер на роме с изюмом 15 мл. Добавь темный ром 75 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в коктейльный бокал. Положи в коктейль изюм,"темный ром, домашний ликер на роме с изюмом, изюм, лед в кубиках"
17,17,Кранберини,"Положи в рокс клюкву 2 коктейльных ложки и подави мадлером. Наполни рокс дробленым льдом доверху. Налей лаймовый сок 10 мл, гренадин 5 мл, розовый вермут 15 мл и джин 30 мл. Размешай коктейльной ложкой и досыпь немного дробленого льда. Укрась клюквой и сахарной пудрой","лондонский сухой джин, розовый вермут, гренадин, лаймовый сок, клюква, сахарная пудра, дробленый лед"
